title,budget,gross,mpaa,running_time,genre,year
Star Wars Ep. VII: The Force Awakens,533200000,2056046835,PG-13,136.0,Adventure,2015
Avatar: The Way of Water,460000000,2315589775,PG-13,190.0,Action,2022
Indiana Jones and the Dial of Destiny,402300000,383963057,PG-13,142.0,Adventure,2023
Avengers: Endgame,400000000,2748242781,PG-13,181.0,Action,2019
Pirates of the Caribbean: On Stranger Tides,379000000,1045713802,PG-13,136.0,Adventure,2011
Avengers: Age of Ultron,365000000,1395316979,PG-13,141.0,Action,2015
Fast X,340000000,714375114,PG-13,141.0,Action,2023
Solo: A Star Wars Story,330400000,393151347,PG-13,135.0,Adventure,2018
Avengers: Infinity War,300000000,2048359754,PG-13,156.0,Action,2018
Pirates of the Caribbean: At World’s End,300000000,960996492,PG-13,167.0,Adventure,2007
Justice League,300000000,655945209,PG-13,121.0,Action,2017
Mission: Impossible Dead Reckoning Part One,290000000,566644143,PG-13,163.0,Action,2023
Rogue One: A Star Wars Story,280200000,1055083596,PG-13,134.0,Adventure,2016
Star Wars: The Rise of Skywalker,275000000,1069951814,PG-13,142.0,Adventure,2019
The Marvels,274800000,199706250,PG-13,105.0,Adventure,2023
John Carter,263700000,282778100,PG-13,132.0,Adventure,2012
Batman v Superman: Dawn of Justice,263000000,872395091,PG-13,151.0,Action,2016
Star Wars Ep. VIII: The Last Jedi,262000000,1322581071,PG-13,150.0,Adventure,2017
The Lion King,260000000,1661454403,PG,118.0,Adventure,2019
Tangled,260000000,582440151,PG,101.0,Adventure,2010
Spider-Man 3,258000000,895937268,PG-13,139.0,Adventure,2007
Black Panther: Wakanda Forever,250000000,853985546,PG-13,161.0,Action,2022
Captain America: Civil War,250000000,1151899586,PG-13,146.0,Action,2016
Guardians of the Galaxy Vol 3,250000000,845163792,PG-13,150.0,Action,2023
Thor: Love and Thunder,250000000,760928081,PG-13,119.0,Action,2022
Harry Potter and the Half-Blood Prince,250000000,926556531,PG,153.0,Adventure,2009
The Little Mermaid,250000000,569626289,PG,135.0,Musical,2023
The Hobbit: The Desolation of Smaug,250000000,959358436,PG-13,201.0,Adventure,2013
The Hobbit: The Battle of the Five Armies,250000000,940323039,PG-13,144.0,Adventure,2014
The Fate of the Furious,250000000,1235534014,PG-13,136.0,Action,2017
Gladiator II,250000000,460515698,R,148.0,Action,2024
No Time to Die,250000000,758929771,PG-13,163.0,Action,2021
Spectre,245000000,879077344,PG-13,148.0,Action,2015
Avatar,237000000,2923706026,PG-13,162.0,Action,2009
Superman Returns,232000000,391081192,PG-13,150.0,Adventure,2006
The Dark Knight Rises,230000000,1082228107,PG-13,164.0,Action,2012
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,794861794,PG-13,135.0,Adventure,2017
Quantum of Solace,230000000,591692078,PG-13,106.0,Action,2008
The Avengers,225000000,1515100211,PG-13,143.0,Action,2012
Pirates of the Caribbean: Dead Man’s Chest,225000000,1066179725,PG-13,151.0,Adventure,2006
Man of Steel,225000000,667999518,PG-13,142.0,Action,2013
The Chronicles of Narnia: Prince Caspian,225000000,417341288,PG,144.0,Adventure,2008
The Lone Ranger,225000000,260002115,PG-13,149.0,Western,2013
The Amazing Spider-Man,220000000,758576824,PG-13,136.0,Adventure,2012
Battleship,220000000,313477717,PG-13,130.0,Action,2012
Transformers: The Last Knight,217000000,602893340,PG-13,148.0,Action,2017
Jurassic World,215000000,1671063641,PG-13,124.0,Action,2015
Men in Black 3,215000000,654213485,PG-13,104.0,Action,2012
Transformers: Revenge of the Fallen,210000000,836519699,PG-13,149.0,Action,2009
Transformers: Age of Extinction,210000000,1104054072,PG-13,165.0,Action,2014
X-Men: The Last Stand,210000000,459260946,PG-13,104.0,Action,2006
Robin Hood,210000000,322459006,PG-13,139.0,Action,2010
King Kong,207000000,550517357,PG-13,189.0,Adventure,2005
Aquaman and the Lost Kingdom,205000000,439381226,PG-13,124.0,Action,2023
The Golden Compass,205000000,367262558,PG-13,113.0,Adventure,2007
Tenet,205000000,366273550,PG-13,110.0,Action,2020
Spider-Man: No Way Home,200000000,1921206586,PG-13,148.0,Action,2021
Black Panther,200000000,1334157082,PG-13,120.0,Action,2018
Titanic,200000000,2223048786,PG-13,194.0,Drama,1997
Inside Out 2,200000000,1698863816,PG,100.0,Adventure,2024
Deadpool & Wolverine,200000000,1338071348,R,127.0,Action,2024
Incredibles 2,200000000,1242805359,PG,118.0,Adventure,2018
Finding Dory,200000000,1025006125,PG,103.0,Adventure,2016
Toy Story 4,200000000,1071177215,G,89.0,Adventure,2019
Toy Story 3,200000000,1068879522,G,102.0,Adventure,2010
Doctor Strange in the Multiverse of Madness,200000000,952224986,PG-13,126.0,Action,2022
Iron Man 3,200000000,1214630956,PG-13,130.0,Action,2013
Guardians of the Galaxy Vol 2,200000000,869087963,PG-13,136.0,Action,2017
