title,budget,gross,mpaa,running_time,genre,year
The Shining,19000000,46998772.0,R,"146.0,",Drama,1980
The Blue Lagoon,4500000,58853106.0,R,"104.0,",Adventure,1980
Star Wars: Episode V - The Empire Strikes Back,18000000,538375067.0,PG,"124.0,",Action,1980
Airplane!,3500000,83453539.0,PG,"88.0,",Comedy,1980
Caddyshack,6000000,39846344.0,R,"98.0,",Comedy,1980
Friday the 13th,550000,39754601.0,R,"95.0,",Horror,1980
The Blues Brothers,27000000,115229890.0,R,"133.0,",Action,1980
Raging Bull,18000000,23402427.0,R,"129.0,",Biography,1980
Superman II,54000000,108185706.0,PG,"127.0,",Action,1980
The Long Riders,10000000,15795189.0,R,"100.0,",Biography,1980
Any Which Way You Can,15000000,70687344.0,PG,"116.0,",Action,1980
The Gods Must Be Crazy,5000000,30031783.0,PG,"109.0,",Adventure,1980
Popeye,20000000,49823037.0,PG,"114.0,",Adventure,1980
Ordinary People,6000000,54766923.0,R,"124.0,",Drama,1980
Dressed to Kill,6500000,31899000.0,R,"104.0,",Crime,1980
Somewhere in Time,5100000,9709597.0,PG,"103.0,",Drama,1980
Fame,0,21202829.0,R,"134.0,",Drama,1980
9 to 5,10000000,103300686.0,PG,"109.0,",Comedy,1980
The Fog,1000000,21448782.0,R,"89.0,",Horror,1980
Stir Crazy,0,101300000.0,R,"111.0,",Comedy,1980
Cruising,11000000,19814523.0,R,"102.0,",Crime,1980
Heaven's Gate,44000000,3484523.0,R,"219.0,",Adventure,1980
The Final Countdown,12000000,16647800.0,PG,"103.0,",Action,1980
Xanadu,20000000,22762571.0,PG,"96.0,",Fantasy,1980
Urban Cowboy,0,46918287.0,PG,"132.0,",Drama,1980
Altered States,0,19853892.0,R,"102.0,",Horror,1980
Little Darlings,0,34326249.0,R,"96.0,",Comedy,1980
Brubaker,9000000,37121708.0,R,"131.0,",Crime,1980
American Gigolo,4800000,22743674.0,R,"117.0,",Crime,1980
My Bodyguard,0,22482952.0,PG,"102.0,",Comedy,1980
Prom Night,0,14796236.0,R,"92.0,",Horror,1980
Smokey and the Bandit II,0,66132626.0,PG,"100.0,",Action,1980
Cattle Annie and Little Britches,5100000,534816.0,PG,"97.0,",Drama,1980
Seems Like Old Times,0,43995918.0,PG,"102.0,",Comedy,1980
Private Benjamin,10000000,69847348.0,R,"109.0,",Comedy,1980
The Hollywood Knights,4000000,10000000.0,R,"91.0,",Comedy,1980
Motel Hell,3000000,6342668.0,R,"101.0,",Comedy,1980
The Jazz Singer,0,27118000.0,PG,"115.0,",Drama,1980
Coal Miner's Daughter,0,67182787.0,PG,"124.0,",Biography,1980
The Watcher in the Woods,0,5000000.0,PG,"84.0,",Family,1980
The Stunt Man,3500000,7063886.0,R,"131.0,",Action,1980
Where the Buffalo Roam,0,6659377.0,R,"99.0,",Biography,1980
The Awakening,0,8415112.0,R,"101.0,",Horror,1980
Cheech and Chong's Next Movie,0,41675194.0,R,"99.0,",Comedy,1980
The Island,22000000,15716828.0,R,"109.0,",Action,1980
The Nude Bomb,15000000,14662035.0,PG,"94.0,",Action,1980
Stardust Memories,10000000,10389003.0,PG,"89.0,",Comedy,1980
Melvin and Howard,7000000,4309490.0,R,"95.0,",Comedy,1980
Bronco Billy,6500000,24265659.0,PG,"116.0,",Action,1980
City of Women,0,12516.0,R,"139.0,",Comedy,1980
When Time Ran Out...,20000000,3763988.0,PG,"121.0,",Action,1980
Oh Heavenly Dog,6000000,6216067.0,PG,"103.0,",Comedy,1980
The Octagon,4000000,18971000.0,R,"103.0,",Action,1980
Herbie Goes Bananas,0,18000000.0,G,"100.0,",Adventure,1980
The Competition,0,14287755.0,PG,"123.0,",Drama,1980
Honeysuckle Rose,0,17815212.0,PG,"119.0,",Drama,1980
Resurrection,0,3910019.0,PG,"103.0,",Drama,1980
Fatso,0,7653061.0,PG,"93.0,",Comedy,1980
The Fiendish Plot of Dr. Fu Manchu,0,10697276.0,PG,"100.0,",Comedy,1980
Serial,0,9870727.0,R,"86.0,",Comedy,1980
Hero at Large,0,15934737.0,PG,"98.0,",Comedy,1980
Wholly Moses!,0,14155617.0,PG,"103.0,",Comedy,1980
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",0,2013193.0,G,"75.0,",Animation,1980
In God We Trust (or Gimme That Prime Time Religion),0,5215015.0,PG,"97.0,",Comedy,1980
Roadie,0,4226370.0,PG,"106.0,",Comedy,1980
Just Tell Me What You Want,0,2086905.0,R,"112.0,",Comedy,1980
The Last Flight of Noah's Ark,6000000,11000000.0,G,"97.0,",Adventure,1980
Little Miss Marker,0,6321392.0,PG,"103.0,",Comedy,1980
Willie & Phil,5500000,4400000.0,R,"115.0,",Comedy,1980
Phobia,5100000,59167.0,R,"94.0,",Drama,1980
Windows,0,2128395.0,R,"96.0,",Drama,1980
Loving Couples,0,2806659.0,PG,"97.0,",Comedy,1980
The King and the Mockingbird,0,167451.0,Not Rated,"83.0,",Animation,1980
"Oh, God! Book II",0,14504277.0,PG,"94.0,",Comedy,1980
"Those Lips, Those Eyes",0,804713.0,R,"105.0,",Comedy,1980
La Cage aux Folles II,0,6950125.0,R,"102.0,",Comedy,1980
The Gong Show Movie,0,6621520.0,R,"89.0,",Comedy,1980
Gilda Live,0,2261507.0,R,"96.0,",Comedy,1980
